epoch,train_loss_pp,val_loss_pp,r_at_0,r_at_1,positive_similarity,hard_negative_similarity,margin,normalized_entropy,temperature,train_samples_per_second,peak_memory_gib,is_best,r_at_0_definition,r_at_1_definition,coarse_scale,input_pixel_interpretation
0,0.751239,0.571131,0.882326,0.986859,0.883941,0.637759,0.246182,0.055225,0.034906,90.352890,2.730770,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
1,0.535431,0.498894,0.890465,0.991825,0.892380,0.646064,0.246317,0.053443,0.032873,90.425323,2.731427,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
2,0.483559,0.469114,0.894075,0.993424,0.897227,0.653589,0.243639,0.054811,0.032586,90.311005,2.732544,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
3,0.457470,0.450594,0.896159,0.994194,0.896300,0.646946,0.249354,0.050622,0.032516,90.457764,2.731213,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
4,0.437908,0.438426,0.897938,0.995059,0.897255,0.646504,0.250751,0.049121,0.032106,90.371239,2.730338,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
5,0.425836,0.430520,0.899534,0.995619,0.895886,0.640395,0.255491,0.046252,0.032105,90.454140,2.729368,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
6,0.417922,0.420502,0.900288,0.995747,0.901026,0.653882,0.247144,0.050389,0.032104,90.306458,2.731536,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
7,0.405555,0.414924,0.901562,0.996167,0.899808,0.646069,0.253739,0.047555,0.032104,23.565359,5.318986,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
8,0.400244,0.409384,0.902305,0.996336,0.901907,0.653151,0.248756,0.048696,0.032103,23.398705,5.326715,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
9,0.394844,0.405362,0.902414,0.996304,0.907415,0.669060,0.238355,0.055907,0.032103,23.481405,5.319099,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
10,0.388943,0.399656,0.903433,0.996683,0.905627,0.663143,0.242485,0.049265,0.031862,23.399035,5.331618,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
11,0.385675,0.396489,0.903903,0.996825,0.905352,0.661641,0.243711,0.047358,0.030982,23.399263,5.342141,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
12,0.383184,0.393873,0.904159,0.996938,0.906586,0.664029,0.242557,0.048092,0.030945,24.675297,5.319711,true,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
13,0.381407,0.391513,0.904306,0.996911,0.907593,0.666665,0.240927,0.048787,0.030944,23.481838,5.321374,false,predicted coarse token exactly equals GT token,predicted coarse token is at most 1 token from GT in both x and y,8,R@0 requires the same coarse cell; R@1 permits up to 8 input pixels along each axis
