epoch,lr-AdamW/encoder,lr-AdamW/physical_filters,lr-AdamW/temperature,step,train/loss_step
,9.939057285945933e-05,9.94459753267812e-06,9.939057285945933e-05,2043,
1,,,,2049,2.782139539718628
1,,,,2099,2.8614490032196045
1,,,,2149,3.237962245941162
1,,,,2199,3.707507610321045
1,,,,2249,3.576413154602051
1,,,,2299,2.906991958618164
1,,,,2349,2.7989437580108643
1,,,,2399,2.660116195678711
1,,,,2449,2.5681817531585693
1,,,,2499,2.3123250007629395
1,,,,2549,2.8707051277160645
1,,,,2599,2.962557315826416
1,,,,2649,2.9556210041046143
1,,,,2699,2.8542847633361816
1,,,,2749,3.7154088020324707
1,,,,2799,4.183251857757568
1,,,,2849,2.344115734100342
1,,,,2899,2.9073057174682617
1,,,,2949,2.867114782333374
1,,,,2999,2.8713369369506836
1,,,,3049,2.3309359550476074
1,,,,3099,2.159647226333618
1,,,,3149,2.4038240909576416
1,,,,3199,2.915273666381836
1,,,,3249,2.604095935821533
1,,,,3299,4.1444501876831055
1,,,,3349,2.8308799266815186
1,,,,3399,2.4887452125549316
1,,,,3449,5.008800029754639
1,,,,3499,2.6541051864624023
